"142382515380961280","Más mañana en Gaceta. Amaiur depende de Uxue Barkos para crear grupo propio. ERC no cumple el req. del 15% y el PNV no quiere competencia","N"
"142384554206961664","La felicidad no esta en los grandes anhelos , sino con pequeñas cosas que ocurren todos los días. Buenas noches , mañana mas ;-))","P"
"142386873539637248","""Ya lo veremos, ya lo veremos..."" les ha respondido Rajoy a Rudi y Bauzá cuando han reclamado la moratoria sobre la deuda. Mañana en @gaceta","N"
"142387445416210433","Habia prometido responder a todos, pero me ha sido imposible. Y hoy no doy para mas. MUCHAS GRACIAS A TODOS","P"
"142391025904795648","@carmenmorodo Gracias","P"
"142415001527918592","Bueno, mañana a las seis. Duermo poco","NONE"
"142475773452886016","Las importantes acciones de Málaga como ciudad inteligente han estado bien presentes en el Smart City Expo World Congress de Barcelona","P"
"142483422185656320","Dado q la deuda privada es superior a la publica, el recorte del gasto privado tiene q ser superior al del gasto publico. Xq nadie protesta?","N"
"142485850201128960","Lloviendo a mares. A ver como ","NONE"
"142486052484038656","Hoy, Mariano Rajoy se reúne con el viceprimer ministro británico, Nick Clegg","NONE"
"142500633537298433","Portada El País http://t.co/JnZOYGjo ...","NONE"
"142501170240438272","Portada La Gaceta http://t.co/hFYH8Qrr ...","NONE"
"142501730578472960","#programascambiados tu cara me vale","NONE"
"142501984174473216","#programascambiados que me caigo!!","NONE"
"142502823844790272","“@miguelamunoz: @Carlos_Latre #programascambiados Un paso  pa yá” jajjaja","NONE"
"142503620242452481","#programascambiados atrapa un acorralado","NONE"
"142504841095299073","#programascambiados atufado","NONE"
"142505734536568832","#programascambiados cine del otro barrio","NONE"
"142506146316554240","#programascambiados farmacia de guarras","NONE"
"142506551473750016","#programascambiados gran hermano RIP","P"
"142507935833133057","Previsión AEMET para mañana sábado http://t.co/a3jZlPGr","NONE"
"142508088849727488","Previsión AEMET para el domingo http://t.co/YRsQyhHT","NONE"
"142508270874140672","Vamos a grabar un poquito d @crackoviadeTV3 , GRACIAS por vuestro cariño!!;)","P"
"142513224431058945",";-)))) #FF gordo con beso RT @Blocdeesbozos: Quiero empezar el día con un #SugieroSeguir y un #AbrazoGigante y un #FF a @mariviromero","P"
"142513405486571521","Primer paso de Rajoy primer resbalón: dice si y luego no, a su compromiso de ampliar plazo CCAA devolución anticipos. Improvisación?","NONE"
"142513579676020736","Buenos días a todos!","NONE"
"142514084330475520","El voto secreto de Sanz y el escaño de Barkos  http://t.co/k6JQuQM6 via @AddThis","NONE"
"142514327180685312","Los policías transexuales argentinos podrán vestirse como mujeres u hombres http://t.co/GwuI9Mbt","NONE"
"142515302075338752","La semana que viene queda otro consejo de ministros,el último. No sé si tengo más miedo o curiosidad por saber cuál será la traca final.","N"
"142516197815107585","Hoy es el Día Mundial por la Abolición de la Exclavitud. Aún se manifiesta en este mundo de múltiples maneras http://t.co/Hf7ThopU","NONE"
"142516833252163584","Hoy es el Día de las Personas con Discapacidad : las barreras mentales son las que tenemos q eliminar .","P"
"142521138352885762","abcdesevilla.es: El PSOE no quiere un jurado en el caso de cobro ilegal en el Merca http://t.co/ygQ0nH8U","N"
"142521829431590912","Llegueeeeeeeeeé","NONE"
"142522835406028802","Camino de Valencia!!! Esta noche concierto Cadena DIAL!!!","NONE"
"142523509204193282","Estupendo: las mujeres somos un #trozocarne“Aumenta en Japón el número de 'hombres herbívoros' rechazan sexo y pareja http://t.co/dTRDjc0e”","P"
"142524118896607233","¿Quieres conocer a la serpiente venenosa más grande de América? http://t.co/DavdmUfY vía @pablo_roy","NONE"
"142524467858509824","Ganas de ver entrevista de la gran Terribas al president Mas anoche tv3......""ya que no me deja preguntar, al menos no me haga preguntas""!!","P"
